frame_number,filename,timestamp_sec,predicted_emotion,confidence,prob_Angry,prob_Disgusted,prob_Fearful,prob_Happy,prob_Neutral,prob_Sad,prob_Surprised
174,0175.jpg,34.8,Disgusted,0.16598877,0.16315718,0.16598877,0.13948037,0.13893548,0.13352178,0.13759227,0.12132413
175,0176.jpg,35.0,Disgusted,0.16484566,0.16418499,0.16484566,0.13978164,0.13616756,0.1330163,0.13875568,0.12324826
176,0177.jpg,35.2,Angry,0.16769144,0.16769144,0.15919897,0.13740805,0.13598791,0.1334224,0.1449821,0.12130917
177,0178.jpg,35.4,Angry,0.16537108,0.16537108,0.16427255,0.13711494,0.1345954,0.13381836,0.14114751,0.12368015
178,0179.jpg,35.6,Angry,0.16670002,0.16670002,0.1634776,0.13829002,0.13363665,0.13433015,0.14124578,0.122319765
179,0180.jpg,35.8,Angry,0.1673895,0.1673895,0.16060933,0.13652624,0.13549425,0.13388409,0.14513178,0.120964885
180,0181.jpg,36.0,Angry,0.16688052,0.16688052,0.16026258,0.13550662,0.13554075,0.13467397,0.14654581,0.12058977
181,0182.jpg,36.2,Angry,0.16823633,0.16823633,0.15891995,0.13596609,0.13445602,0.13240744,0.14933047,0.12068371
182,0183.jpg,36.4,Angry,0.16661152,0.16661152,0.15748589,0.13751313,0.13471696,0.13459817,0.14857243,0.12050193
183,0184.jpg,36.6,Angry,0.16689074,0.16689074,0.1581398,0.13640329,0.13401705,0.13424502,0.14836814,0.121935934
184,0185.jpg,36.8,Angry,0.1680854,0.1680854,0.15812342,0.1355323,0.1330731,0.13632892,0.14697081,0.121886075
185,0186.jpg,37.0,Angry,0.16979684,0.16979684,0.16110647,0.13551359,0.13221312,0.13437591,0.14624324,0.120750785
186,0187.jpg,37.2,Angry,0.17022735,0.17022735,0.16240714,0.13616303,0.13322471,0.13334401,0.14280674,0.12182697
187,0188.jpg,37.4,Angry,0.16949558,0.16949558,0.16289768,0.13565074,0.13401899,0.13385586,0.14148013,0.12260103
